postal_code,municipalities,address_count,location_type,has_postboxes,success
00001,,0,NO_DATA,False,False
00017,,3,POST_BOX,True,True
00031,,49,POST_BOX,True,True
00101,,2180,POST_BOX,True,True
00141,,60,POST_BOX,True,True
00381,,492,POST_BOX,True,True
00521,,268,POST_BOX,True,True
00781,,14,POST_BOX,True,True
00841,,0,NO_DATA,False,False
01391,,70,POST_BOX,True,True
01531,,524,POST_BOX,True,True
02471,,9,POST_BOX,True,True
02611,,72,POST_BOX,True,True
02941,,0,NO_DATA,False,False
04131,,102,POST_BOX,True,True
04401,,240,POST_BOX,True,True
04431,,190,POST_BOX,True,True
05401,,20,POST_BOX,True,True
06151,,126,POST_BOX,True,True
06451,,0,NO_DATA,False,False
07171,,8,POST_BOX,True,True
07565,,237,SETTLEMENT,False,True
07899,,0,NO_DATA,False,False
07901,,146,POST_BOX,True,True
07945,,662,SETTLEMENT,False,True
07955,,1533,SETTLEMENT,False,True
07999,,0,NO_DATA,False,False
09999,,0,NO_DATA,False,False
10211,,92,POST_BOX,True,True
10601,,228,POST_BOX,True,True
10611,,18,POST_BOX,True,True
10901,,304,POST_BOX,True,True
11111,,198,POST_BOX,True,True
14999,,0,NO_DATA,False,False
15861,,0,NO_DATA,False,False
15951,,0,NO_DATA,False,False
17801,,32,POST_BOX,True,True
18007,,0,NO_DATA,False,False
19651,,78,POST_BOX,True,True
19701,,50,POST_BOX,True,True
20781,,280,POST_BOX,True,True
20811,,52,POST_BOX,True,True
21195,,305,SETTLEMENT,False,True
21251,,42,POST_BOX,True,True
21555,,220,SETTLEMENT,False,True
21571,,50,POST_BOX,True,True
21601,,288,POST_BOX,True,True
21661,,56,POST_BOX,True,True
21711,,0,NO_DATA,False,False
21901,,60,POST_BOX,True,True
23801,,42,POST_BOX,True,True
24003,,0,NO_DATA,False,False
24101,,484,POST_BOX,True,True
25003,,0,NO_DATA,False,False
25701,,122,POST_BOX,True,True
27501,,8,POST_BOX,True,True
28401,,118,POST_BOX,True,True
32301,,0,NO_DATA,False,False
33101,,1086,POST_BOX,True,True
33211,,152,POST_BOX,True,True
34801,,48,POST_BOX,True,True
35301,,36,POST_BOX,True,True
35801,,50,POST_BOX,True,True
39195,,86,SETTLEMENT,False,True
39965,,144,SETTLEMENT,False,True
40003,,0,NO_DATA,False,False
40101,,724,POST_BOX,True,True
41325,,320,SETTLEMENT,False,True
41661,,2,POST_BOX,True,True
41925,,160,SETTLEMENT,False,True
42701,,222,POST_BOX,True,True
43501,,32,POST_BOX,True,True
44101,,152,POST_BOX,True,True
45007,,0,NO_DATA,False,False
45101,,548,POST_BOX,True,True
45151,,0,NO_DATA,False,False
45701,,198,POST_BOX,True,True
48007,,0,NO_DATA,False,False
52201,,12,POST_BOX,True,True
52301,,26,POST_BOX,True,True
52551,,62,POST_BOX,True,True
52701,,206,POST_BOX,True,True
54915,,625,SETTLEMENT,False,True
57007,,0,NO_DATA,False,False
58175,,710,SETTLEMENT,False,True
58701,,86,POST_BOX,True,True
62165,,243,SETTLEMENT,False,True
62175,,122,SETTLEMENT,False,True
62185,,133,SETTLEMENT,False,True
62295,,307,SETTLEMENT,False,True
62375,,1301,SETTLEMENT,False,True
62395,,182,SETTLEMENT,False,True
62435,,84,SETTLEMENT,False,True
63355,,110,SETTLEMENT,False,True
64101,,200,POST_BOX,True,True
64701,,116,POST_BOX,True,True
64999,,0,NO_DATA,False,False
65101,,666,POST_BOX,True,True
66101,,0,NO_DATA,False,False
66201,,16,POST_BOX,True,True
66295,,295,SETTLEMENT,False,True
66401,,58,POST_BOX,True,True
66901,,86,POST_BOX,True,True
66999,,0,NO_DATA,False,False
68555,,810,SETTLEMENT,False,True
68601,,266,POST_BOX,True,True
68999,,0,NO_DATA,False,False
70007,,0,NO_DATA,False,False
70101,,628,POST_BOX,True,True
70111,,66,POST_BOX,True,True
71745,,76,SETTLEMENT,False,True
71775,,286,SETTLEMENT,False,True
72401,,72,POST_BOX,True,True
73301,,20,POST_BOX,True,True
74595,,559,SETTLEMENT,False,True
77999,,0,NO_DATA,False,False
79101,,76,POST_BOX,True,True
79255,,180,SETTLEMENT,False,True
79265,,113,SETTLEMENT,False,True
79885,,131,SETTLEMENT,False,True
79895,,161,SETTLEMENT,False,True
81235,,255,SETTLEMENT,False,True
81295,,244,SETTLEMENT,False,True
81701,,48,POST_BOX,True,True
82335,,758,SETTLEMENT,False,True
82501,,152,POST_BOX,True,True
82655,,316,SETTLEMENT,False,True
82675,,106,SETTLEMENT,False,True
82685,,190,SETTLEMENT,False,True
82815,,194,SETTLEMENT,False,True
82865,,123,SETTLEMENT,False,True
82967,,186,SETTLEMENT,False,True
83101,,76,POST_BOX,True,True
83825,,406,SETTLEMENT,False,True
83835,,255,SETTLEMENT,False,True
83855,,189,SETTLEMENT,False,True
85101,,139,POST_BOX,True,True
87007,,0,NO_DATA,False,False
88301,,0,NO_DATA,False,False
88615,,0,NO_DATA,False,False
88999,,0,NO_DATA,False,False
89201,,0,NO_DATA,False,False
89999,,0,NO_DATA,False,False
90501,,64,POST_BOX,True,True
90901,,82,POST_BOX,True,True
91501,,162,POST_BOX,True,True
91701,,69,POST_BOX,True,True
92007,,0,NO_DATA,False,False
92101,,152,POST_BOX,True,True
93187,,156,SETTLEMENT,False,True
93225,,202,SETTLEMENT,False,True
93277,,196,SETTLEMENT,False,True
93825,,0,NO_DATA,False,False
93899,,0,NO_DATA,False,False
93999,,0,NO_DATA,False,False
95225,,236,SETTLEMENT,False,True
95255,,121,SETTLEMENT,False,True
95295,,0,NO_DATA,False,False
95315,,233,SETTLEMENT,False,True
95325,,146,SETTLEMENT,False,True
95355,,346,SETTLEMENT,False,True
95365,,248,SETTLEMENT,False,True
95375,,100,SETTLEMENT,False,True
95615,,135,SETTLEMENT,False,True
95635,,278,SETTLEMENT,False,True
95645,,257,SETTLEMENT,False,True
95675,,171,SETTLEMENT,False,True
95999,,0,NO_DATA,False,False
96007,,0,NO_DATA,False,False
97335,,65,SETTLEMENT,False,True
97615,,50,SETTLEMENT,False,True
97625,,363,SETTLEMENT,False,True
97635,,110,SETTLEMENT,False,True
97645,,144,SETTLEMENT,False,True
97655,,160,SETTLEMENT,False,True
97665,,190,SETTLEMENT,False,True
97675,,171,SETTLEMENT,False,True
97685,,93,SETTLEMENT,False,True
97715,,171,SETTLEMENT,False,True
97765,,85,SETTLEMENT,False,True
97785,,76,SETTLEMENT,False,True
97815,,181,SETTLEMENT,False,True
97895,,91,SETTLEMENT,False,True
97925,,99,SETTLEMENT,False,True
98007,,0,NO_DATA,False,False
98995,,217,SETTLEMENT,False,True
99101,,130,POST_BOX,True,True
99131,,48,POST_BOX,True,True
99135,,74,SETTLEMENT,False,True
99195,,43,SETTLEMENT,False,True
99301,,38,POST_BOX,True,True
99555,,606,SETTLEMENT,False,True
99645,,126,SETTLEMENT,False,True
99655,,156,SETTLEMENT,False,True
99665,,43,SETTLEMENT,False,True
99871,,98,POST_BOX,True,True
